season,tier,division,finish,points,matches,wins,draws,losses,gf,ga,state,source,source_url,gd,ppg,gd_per_match,season_start
1990-91,2,Segunda División,2,48,38,20,8,10,60,32,Ascenso a Primeira,BDFutbol,https://www.bdfutbol.com/es/t/t1990-912a.html,28,1.263,0.737,1990
1991-92,1,Primeira División,17,31,38,8,15,15,37,48,Salvación na promoción,BDFutbol,https://www.bdfutbol.com/t/t1991-92.html,-11,0.816,-0.289,1991
1992-93,1,Primeira División,3,54,38,22,10,6,67,33,Súper Dépor,BDFutbol,https://www.bdfutbol.com/es/en/t/t1992-93.html?tab=stats,34,1.421,0.895,1992
1993-94,1,Primeira División,2,56,38,22,12,4,54,18,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,36,1.474,0.947,1993
1994-95,1,Primeira División,2,51,38,20,11,7,68,32,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/9495/SP1.csv,36,1.342,0.947,1994
1995-96,1,Primeira División,9,61,42,16,13,13,63,44,,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/9596/SP1.csv,19,1.452,0.452,1995
1996-97,1,Primeira División,3,77,42,21,14,7,57,30,Zona alta,Football-Data.co.uk + posto oficial por criterios de desempate,https://www.bdfutbol.com/es/t/t1996-97.html,27,1.833,0.643,1996
1997-98,1,Primeira División,12,49,38,12,13,13,44,46,,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/9798/SP1.csv,-2,1.289,-0.053,1997
1998-99,1,Primeira División,6,63,38,17,12,9,55,43,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/9899/SP1.csv,12,1.658,0.316,1998
1999-00,1,Primeira División,1,69,38,21,6,11,66,44,Campión de Liga,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/9900/SP1.csv,22,1.816,0.579,1999
2000-01,1,Primeira División,2,73,38,22,7,9,73,44,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/0001/SP1.csv,29,1.921,0.763,2000
2001-02,1,Primeira División,2,68,38,20,8,10,65,41,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/0102/SP1.csv,24,1.789,0.632,2001
2002-03,1,Primeira División,3,72,38,22,6,10,67,47,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/0203/SP1.csv,20,1.895,0.526,2002
2003-04,1,Primeira División,3,71,38,21,8,9,60,34,Zona alta,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/0304/SP1.csv,26,1.868,0.684,2003
2004-05,1,Primeira División,9,51,38,12,15,11,46,50,,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/0405/SP1.csv,-4,1.342,-0.105,2004
