season,season_start,division,tier,team,round,date,gd,gf,ga,opponent,venue,result,is_depor,source_url
1993-94,1993,Primeira División,1,Albacete,0,,0,0,0,,,,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,1,1993-09-05,-3,1,4,Ath Bilbao,A,L,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,2,1993-09-12,-3,1,4,Barcelona,H,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,3,1993-09-19,-3,2,5,Zaragoza,A,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,4,1993-09-26,-2,4,6,Osasuna,H,W,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,5,1993-10-03,-3,4,7,Valladolid,A,L,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,6,1993-10-06,-3,4,7,La Coruna,H,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,7,1993-10-17,-3,5,8,Oviedo,A,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,8,1993-10-24,-3,7,10,Ath Madrid,H,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,9,1993-10-31,-3,8,11,Santander,A,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,10,1993-11-07,-4,10,14,Tenerife,H,L,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,11,1993-11-10,-3,11,14,Lerida,A,W,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,12,1993-11-21,-3,12,15,Vallecano,H,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,13,1993-11-28,-3,14,17,Logrones,A,D,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,14,1993-12-05,-1,17,18,Valencia,H,W,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
1993-94,1993,Primeira División,1,Albacete,15,1993-12-12,2,21,19,Celta,A,W,False,https://www.football-data.co.uk/mmz4281/9394/SP1.csv
